Auction Title,Auction ID,Department,Close Date,Winning Bid,CC Fee,Fee Percent,Auction Fee Subtotal,Auction Fee Total,Pay Status,Asset #,Inventory ID,Decal /Vehicle ID,VTR Number,Receipt Number,Cap,Expenses,Net Sales,Fund,Business Unit
Item 166,74467,PUBLIC DEFENDER,41653,303.12,1.13,0.25,75.78,76.91,Pending,59112,70455,,,3613955369,3000,0,226.21,General Fund,0
Item 167,75149,PUBLIC DEFENDER,41684,748.4,9.73,0.12,89.81,99.54,Pending,64736,"73417, 71042, 79122",,,3696079995,3000,0,648.86,Enterprise,0
Item 168,77789,ITS,41589,526.88,2.93,0.16,84.3,87.23,Failed,22114,"71877, 77609, 74685",Dec-93,,3606373590,3000,0,439.65,General Fund,0
Item 169,76755,PARKS,41659,245.85,14.9,0.28,68.84,83.74,Pending,93189,76566,Dec-70,3247558823,3681093715,3000,0,162.11,Restricted Fund,0
Item 170,74226,PUBLIC DEFENDER,41577,195.44,10.09,0.16,31.27,41.36,Pending,76942,"78254, 79743, 75207",,3156312004,3647354585,3000,0,154.08,General Fund,0
Item 171,70338,OFM,41595,579.37,13.17,0.19,110.08,123.25,Failed,,"73087, 78622",,,3674394323,3000,0,456.12,Enterprise,0
Item 172,70836,OFM,41586,417.38,8.22,0.13,54.26,62.48,Successful,,"72933, 75767, 70823",Dec-54,,3635188335,3000,0,354.9,Enterprise,0
Item 173,77647,PUBLIC DEFENDER,41686,913.1,7.57,0.12,109.57,117.14,Pending,72124,71915,Dec-42,,3657412152,3000,0,795.96,General Fund,0
Item 174,77019,ITS,41558,129.82,1.21,0.3,38.95,40.16,Failed,,72804,Dec-36,,3657563361,3000,0,89.66,Restricted Fund,0
Item 175,79750,OFM,41626,826.36,7.36,0.3,247.91,255.27,Pending,86812,"79616, 79190, 75678",,3117321396,Money Order,3000,0,571.09,Enterprise,0
Item 176,70109,ITS,41509,831.42,5.56,0.17,141.34,146.9,Pending,35119,"78295, 75887, 73992",Dec-58,,Money Order,3000,0,684.52,General Fund,0
Item 177,71467,OFM,41660,934.43,8.22,0.26,242.95,251.17,Failed,,"77360, 73613, 75927",,,3617016411,3000,0,683.26,Enterprise,0
Item 178,72578,ITS,41658,346.38,5.73,0.15,51.96,57.69,Pending,45289,"77474, 73663",,3576054585,3609898246,3000,0,288.69,Restricted Fund,0
Item 179,70276,GENERAL SERVICES,41580,898.88,3.03,0.18,161.8,164.83,Pending,99162,"73869, 79630, 70172",,,Money Order,3000,0,734.05,Restricted Fund,0
Item 180,77180,PARKS,41696,144.23,4.09,0.21,30.29,34.38,Pending,44139,"79674, 77563",,3598562513,3670891580,3000,0,109.85,Restricted Fund,0
Item 181,76457,SCHOOL BOARD WAREHOUSE,41558,440.12,14.93,0.18,79.22,94.15,Pending,89182,"78166, 78216, 70367",,3396875089,3698991368,3000,0,345.97,Enterprise,0
Item 182,71162,ITS,41585,33.67,11.73,0.29,9.76,21.49,Pending,50658,"79358, 78338, 76537",Dec-68,,3622927822,3000,0,12.18,Enterprise,0
Item 183,72743,GENERAL SERVICES,41586,135.86,6.43,0.11,14.94,21.37,Pending,13947,"73313, 77127, 71580",,3491170949,Money Order,3000,0,114.49,General Fund,0
Item 184,75930,SCHOOL BOARD WAREHOUSE,41637,423.59,7.35,0.21,88.95,96.3,Failed,17726,76936,Dec-20,3096273045,3643619730,3000,0,327.29,Enterprise,0
Item 185,72190,OFM,41675,746.05,5.31,0.19,141.75,147.06,Successful,19314,"74970, 71582, 74953",,,3676696887,3000,0,598.99,General Fund,0
Item 186,75824,OFM,41528,534.34,13.12,0.11,58.78,71.9,Failed,98663,71323,Dec-21,3300590628,3661077412,3000,0,462.44,General Fund,0
Item 187,72799,SCHOOL BOARD WAREHOUSE,41566,306.58,8.77,0.14,42.92,51.69,Successful,68859,"72472, 71908, 75414",,,Money Order,3000,0,254.89,Restricted Fund,0
Item 188,79833,PARKS,41544,86.56,7.77,0.12,10.39,18.16,Failed,99263,77240,,,Money Order,3000,0,68.4,Restricted Fund,0
Item 189,76270,PUBLIC DEFENDER,41681,384.86,9.65,0.27,103.91,113.56,Failed,40972,77165,Dec-47,,3602724656,3000,0,271.3,Enterprise,0
Item 190,74029,ITS,41549,888.09,8.8,0.11,97.69,106.49,Successful,39187,"71203, 72586",Dec-24,,Money Order,3000,0,781.6,Enterprise,0
Item 191,76539,PUBLIC DEFENDER,41561,946.98,11.57,0.2,189.4,200.97,Successful,25342,"77331, 70892",,,3630263366,3000,0,746.01,Restricted Fund,0
Item 192,71834,OFM,41557,557.48,14.15,0.27,150.52,164.67,Failed,49570,72808,Dec-90,,Money Order,3000,0,392.81,Restricted Fund,0
Item 193,70692,PUBLIC DEFENDER,41633,495.52,3.72,0.22,109.01,112.73,Pending,77253,"77285, 70740, 73845",,,3697348027,3000,0,382.79,Enterprise,0
Item 194,72506,ITS,41673,88.94,3.08,0.26,23.12,26.2,Pending,27407,78016,Dec-93,,3600524816,3000,0,62.74,Enterprise,0
Item 195,77837,OFM,41543,325.4,10.3,0.13,42.3,52.6,Failed,19400,78111,DEC-1860,,3640235181,3000,0,272.8,Enterprise,0
Item 196,73514,GENERAL SERVICES,41587,517.88,1.69,0.18,93.22,94.91,Failed,76050,"77634, 77209",,,3656612345,3000,0,422.97,Restricted Fund,0
Item 197,75857,SCHOOL BOARD WAREHOUSE,41635,831.91,2.25,0.23,191.34,193.59,Failed,,"70005, 73017, 79317",,,3600046806,3000,0,638.32,Enterprise,0
Item 198,79033,SCHOOL BOARD WAREHOUSE,41556,555.77,12.76,0.22,122.27,135.03,Failed,,"77075, 76616",Dec-36,3358965643,Money Order,3000,0,420.74,Enterprise,0
Item 199,73693,ITS,41505,472.51,14.1,0.28,132.3,146.4,Successful,84325,"76046, 71726, 76630",,,3687633039,3000,0,326.11,Restricted Fund,0
Item 200,76947,PARKS,41596,567.9,0.8,0.2,113.58,114.38,Failed,23116,"71741, 76252",Dec-00,,3646356379,3000,0,453.52,Enterprise,0
Item 201,72006,ITS,41603,348.39,1.09,0.26,90.58,91.67,Pending,,77851,,3219714757,Money Order,3000,0,256.72,Enterprise,0
Item 202,73110,ITS,41649,623.52,2.32,0.27,168.35,170.67,Failed,21648,"75286, 79232",,3037148953,3651679512,3000,0,452.85,General Fund,0
Item 203,71326,PARKS,41700,417.41,9.88,0.22,91.83,101.71,Successful,10225,"74478, 77477, 75344",,,3618742888,3000,0,315.7,Restricted Fund,0
Item 204,72298,OFM,41683,143.38,9.95,0.25,35.84,45.79,Failed,,"73459, 70038, 75457",,3515291398,3669602987,3000,0,97.59,Restricted Fund,0
Item 205,78457,SCHOOL BOARD WAREHOUSE,41609,71.12,14.34,0.18,12.8,27.14,Successful,99372,76770,,,Money Order,3000,0,43.98,Enterprise,0
Item 206,70233,PARKS,41627,706.53,6.79,0.29,204.89,211.68,Successful,92449,"75639, 71257",Dec-22,,3646364013,3000,0,494.85,Restricted Fund,0
Item 207,75287,GENERAL SERVICES,41669,446.2,6.06,0.14,62.47,68.53,Successful,45162,78883,,,3636673310,3000,0,377.67,Restricted Fund,0
Item 208,71072,SCHOOL BOARD WAREHOUSE,41619,75.92,12.63,0.18,13.67,26.3,Successful,69548,"79704, 78075, 73716",,,3637580565,3000,0,49.62,Enterprise,0
Item 209,72881,PUBLIC DEFENDER,41599,820.39,4.22,0.16,131.26,135.48,Successful,,78054,,,3619233836,3000,0,684.91,Enterprise,0
Item 210,79825,GENERAL SERVICES,41510,441.53,0.79,0.29,128.04,128.83,Successful,86741,"77910, 77328, 70380",Dec-18,,3623481182,3000,0,312.7,Enterprise,0
Item 211,71290,GENERAL SERVICES,41608,566.72,7.43,0.21,119.01,126.44,Failed,36272,"76283, 73559",Dec-36,,3684962870,3000,0,440.28,General Fund,0
Item 212,75201,OFM,41561,870.6,8.95,0.23,200.24,209.19,Pending,36847,"79838, 72482",Dec-77,,3671627177,3000,0,661.41,General Fund,0
Item 213,78714,OFM,41647,864.06,11.23,0.15,129.61,140.84,Successful,90943,"79036, 73336",Dec-46,,Money Order,3000,0,723.22,Restricted Fund,0
Item 214,78288,SCHOOL BOARD WAREHOUSE,41613,396.1,4.65,0.17,67.34,71.99,Pending,51432,72016,,,3649441935,3000,0,324.11,General Fund,0
Item 215,70024,SCHOOL BOARD WAREHOUSE,41596,39.54,7.96,0.23,9.09,17.05,Successful,34226,"74702, 72779, 75022",DEC-1388,,Money Order,3000,0,22.49,General Fund,0
Item 216,70208,SCHOOL BOARD WAREHOUSE,41640,830.56,5.92,0.14,116.28,122.2,Pending,,72144,,,3633680929,3000,0,708.36,Enterprise,0
Item 217,71348,ITS,41602,95.73,7.97,0.12,11.49,19.46,Pending,35712,"72338, 75407, 79502",,3586643252,3608875406,3000,0,76.27,General Fund,0
Item 218,77234,GENERAL SERVICES,41599,57.94,8.43,0.11,6.37,14.8,Failed,87900,"73757, 73065",Dec-74,3016081071,Money Order,3000,0,43.14,Restricted Fund,0
Item 219,70746,GENERAL SERVICES,41530,306.81,6.94,0.11,33.75,40.69,Failed,66301,"78584, 76366, 70109",Dec-13,,3631227287,3000,0,266.12,General Fund,0
Item 220,78280,OFM,41596,788.49,14.84,0.18,141.93,156.77,Failed,,"70420, 76215, 72844",DEC-1350,3025696517,Money Order,3000,0,631.72,General Fund,0
Item 221,73056,PUBLIC DEFENDER,41696,584.88,13.35,0.12,70.19,83.54,Successful,99129,"78019, 74350, 76923",,3402067784,Money Order,3000,0,501.34,Enterprise,0
Item 222,76470,PARKS,41645,443.32,13.33,0.27,119.7,133.03,Successful,29270,"78072, 76615, 77448",Dec-47,,3601415326,3000,0,310.29,Restricted Fund,0
Item 223,75731,OFM,41612,941.65,10.01,0.19,178.91,188.92,Successful,45946,72276,,3498042572,3616406138,3000,0,752.73,General Fund,0
Item 224,73604,SCHOOL BOARD WAREHOUSE,41662,987.02,1.54,0.25,246.75,248.29,Failed,32289,"71768, 79432, 70092",,,3651382012,3000,0,738.73,Restricted Fund,0
Item 225,79190,GENERAL SERVICES,41591,106.85,11.43,0.14,14.96,26.39,Pending,78445,77036,Dec-75,,3693926239,3000,0,80.46,Enterprise,0
Item 226,72077,PUBLIC DEFENDER,41525,411.1,13.6,0.18,74,87.6,Failed,83015,"76168, 72462, 75715",,,3612205388,3000,0,323.5,Restricted Fund,0
Item 227,70118,PUBLIC DEFENDER,41587,957.42,13.01,0.2,191.48,204.49,Pending,99150,73226,,,Money Order,3000,0,752.93,Restricted Fund,0
Item 228,77939,GENERAL SERVICES,41599,503.91,6.9,0.2,100.78,107.68,Failed,,"77795, 72237",,3581354558,3648438322,3000,0,396.23,General Fund,0
Item 229,76051,ITS,41656,452.58,9.75,0.26,117.67,127.42,Pending,83587,"74130, 76835, 71846",Dec-30,,3600973798,3000,0,325.16,Restricted Fund,0
Item 230,78502,ITS,41652,204.63,14.58,0.27,55.25,69.83,Pending,,"78239, 73127",,3226917473,3671307806,3000,0,134.8,Enterprise,0
Item 231,78604,ITS,41547,570.62,14.99,0.26,148.36,163.35,Failed,69585,70203,,,3694654345,3000,0,407.27,General Fund,0
Item 232,75673,PUBLIC DEFENDER,41649,765.42,11.48,0.24,183.7,195.18,Successful,60278,"71497, 71489, 73463",Dec-59,,Money Order,3000,0,570.24,Enterprise,0
Item 233,74316,GENERAL SERVICES,41506,967.66,7.96,0.1,96.77,104.73,Failed,39366,"71446, 73301, 77881",Dec-82,,3690412129,3000,0,862.93,Enterprise,0
Item 234,71683,PARKS,41595,315.93,4.39,0.1,31.59,35.98,Successful,90623,"75863, 71086",,,3689140816,3000,0,279.95,Enterprise,0
Item 235,78937,PUBLIC DEFENDER,41645,670.19,5.42,0.29,194.36,199.78,Failed,92273,70419,,,3664797616,3000,0,470.41,Restricted Fund,0
Item 236,76632,ITS,41563,29.13,2.2,0.12,3.5,5.7,Failed,26289,70834,Dec-88,,3638958945,3000,0,23.43,Enterprise,0
Item 237,77634,GENERAL SERVICES,41554,433.13,2.51,0.16,69.3,71.81,Successful,76432,"75484, 79348",,,3636910170,3000,0,361.32,Enterprise,0
Item 238,79551,PARKS,41519,494.1,13.57,0.14,69.17,82.74,Pending,42226,"79304, 72201",Dec-13,,3658634698,3000,0,411.36,Restricted Fund,0
Item 239,74133,SCHOOL BOARD WAREHOUSE,41662,643.45,6.47,0.16,102.95,109.42,Successful,17709,"71046, 76441",Dec-79,,3657024017,3000,0,534.03,Enterprise,0
Item 240,78898,PARKS,41516,398.21,3.7,0.13,51.77,55.47,Pending,,72533,,3489360909,Money Order,3000,0,342.74,General Fund,0
Item 241,77952,GENERAL SERVICES,41563,436.45,13.4,0.21,91.65,105.05,Pending,,"70033, 70922",,,3604254255,3000,0,331.4,Restricted Fund,0
Item 242,78125,PUBLIC DEFENDER,41548,353.04,1.66,0.16,56.49,58.15,Pending,,77963,,3253011282,3661681138,3000,0,294.89,Restricted Fund,0
Item 243,70118,ITS,41624,994.73,9.39,0.24,238.74,248.13,Successful,21666,71814,Dec-22,,3628009483,3000,0,746.6,Restricted Fund,0
Item 244,79457,GENERAL SERVICES,41570,527.89,6.41,0.11,58.07,64.48,Pending,74858,"71370, 78059, 70433",,,3694171652,3000,0,463.41,General Fund,0
Item 245,75892,PARKS,41545,589.28,4.57,0.29,170.89,175.46,Successful,,"70383, 72861, 74796",Dec-29,,Money Order,3000,0,413.82,Enterprise,0
Item 246,77435,PARKS,41540,523.42,5.15,0.16,83.75,88.9,Pending,36789,"70257, 76231",DEC-1531,,3628369360,3000,0,434.52,General Fund,0
Item 247,72443,PUBLIC DEFENDER,41565,528.29,13.34,0.15,79.24,92.58,Pending,73730,76463,Dec-18,,3640698837,3000,0,435.71,Restricted Fund,0
Item 248,70008,SCHOOL BOARD WAREHOUSE,41653,766.24,6.51,0.11,84.29,90.8,Failed,21825,70082,Dec-68,,Money Order,3000,0,675.44,General Fund,0
Item 249,72687,GENERAL SERVICES,41663,98.26,7.15,0.18,17.69,24.84,Pending,91360,"79761, 70123",Dec-76,3590758937,3641455189,3000,0,73.42,General Fund,0
Item 250,74335,ITS,41612,965.63,7.26,0.18,173.81,181.07,Pending,28118,"73227, 79186",Dec-86,,3615199403,3000,0,784.56,General Fund,0
Item 251,72128,SCHOOL BOARD WAREHOUSE,41516,22.75,12.53,0.19,4.32,16.85,Pending,75303,78813,,,Money Order,3000,0,5.9,Restricted Fund,0
Item 252,72654,OFM,41608,542.57,2.45,0.1,54.26,56.71,Successful,25928,79353,,,3680947861,3000,0,485.86,General Fund,0
Item 253,77167,GENERAL SERVICES,41545,578.48,6.79,0.28,161.97,168.76,Successful,29336,"73091, 71071, 76318",Dec-76,3014868384,Money Order,3000,0,409.72,Restricted Fund,0
Item 254,76378,PUBLIC DEFENDER,41678,281.03,14.2,0.29,81.5,95.7,Successful,17669,"73277, 78805",Dec-06,,Money Order,3000,0,185.33,General Fund,0
Item 255,71068,PARKS,41617,854.63,10.67,0.12,102.56,113.23,Successful,52035,71042,Dec-36,3325654549,Money Order,3000,0,741.4,General Fund,0
Item 256,76837,SCHOOL BOARD WAREHOUSE,41641,46.31,2.31,0.28,12.97,15.28,Failed,22337,"79357, 76271, 77742",Dec-97,3489032033,3687200571,3000,0,31.03,Restricted Fund,0
Item 257,77649,PUBLIC DEFENDER,41571,991.38,9.27,0.17,168.53,177.8,Successful,35030,"70624, 71108",DEC-1135,,Money Order,3000,0,813.58,General Fund,0
Item 258,75448,PARKS,41677,575.16,5.41,0.26,149.54,154.95,Failed,44437,"79399, 70948, 71416",Dec-84,,3617573647,3000,0,420.21,Restricted Fund,0
Item 259,73386,PARKS,41517,601.29,8.49,0.13,78.17,86.66,Failed,83638,"70586, 75108, 75834",,,3656893200,3000,0,514.63,Restricted Fund,0
Item 260,74152,GENERAL SERVICES,41590,799.28,6.32,0.18,143.87,150.19,Failed,65239,"72846, 77818, 75704",Dec-50,,3634687694,3000,0,649.09,Enterprise,0
Item 261,74913,GENERAL SERVICES,41663,973.15,7.26,0.1,97.31,104.57,Pending,67445,"72411, 74378, 72685",,3543096454,3651133304,3000,0,868.58,General Fund,0
Item 262,72640,PUBLIC DEFENDER,41511,679.5,6.18,0.12,81.54,87.72,Successful,,"74035, 70065",Dec-97,,3634396748,3000,0,591.78,General Fund,0
Item 263,73287,PARKS,41523,902.28,8.13,0.28,252.64,260.77,Pending,,74339,,,3698271903,3000,0,641.51,General Fund,0
Item 264,77426,GENERAL SERVICES,41545,257.98,12.59,0.3,77.39,89.98,Pending,93707,"78154, 72524, 78427",Dec-96,,3687867160,3000,0,168,Restricted Fund,0
Item 265,73124,PARKS,41620,615.43,2.95,0.23,141.55,144.5,Pending,60247,"74076, 73123, 79257",Dec-86,,3662274378,3000,0,470.93,Enterprise,0
Item 266,73929,SCHOOL BOARD WAREHOUSE,41679,128.07,12.98,0.2,25.61,38.59,Successful,48655,"70471, 77937",Dec-56,,3698623195,3000,0,89.48,General Fund,0
Item 267,71325,PUBLIC DEFENDER,41569,887.71,2.37,0.25,221.93,224.3,Successful,74743,"73377, 70704, 72993",,,3618771977,3000,0,663.41,Enterprise,0
Item 268,73518,ITS,41610,695.69,3.82,0.17,118.27,122.09,Successful,,"79522, 71302, 79640",,,3631194913,3000,0,573.6,Enterprise,0
Item 269,74059,PUBLIC DEFENDER,41669,831.59,14.5,0.26,216.21,230.71,Pending,97402,76988,Dec-89,3071179895,Money Order,3000,0,600.88,Enterprise,0
Item 270,70937,ITS,41672,192.57,10.63,0.23,44.29,54.92,Successful,47205,"70152, 73673",Dec-50,3539973085,3666079407,3000,0,137.65,Restricted Fund,0
Item 271,78838,ITS,41562,722.57,2.85,0.19,137.29,140.14,Failed,85512,"71239, 75111, 76956",,3183361432,3652781867,3000,0,582.43,General Fund,0
Item 272,70776,ITS,41688,736.94,4.92,0.16,117.91,122.83,Successful,83283,"78469, 72879, 71063",Dec-14,,Money Order,3000,0,614.11,Enterprise,0
Item 273,76471,PARKS,41556,198.41,3.23,0.29,57.54,60.77,Pending,12703,"79785, 76108, 79346",Dec-78,3018391624,Money Order,3000,0,137.64,General Fund,0
Item 274,79571,PUBLIC DEFENDER,41530,324.59,3.05,0.1,32.46,35.51,Failed,26633,73982,,,3602710910,3000,0,289.08,General Fund,0
Item 275,76297,GENERAL SERVICES,41606,495.7,5.81,0.25,123.92,129.73,Pending,51002,"71615, 75260",Dec-23,3303977324,3693288386,3000,0,365.97,Enterprise,0
Item 276,72608,SCHOOL BOARD WAREHOUSE,41512,940.4,4.82,0.26,244.5,249.32,Failed,31605,"76331, 72369, 79399",,,3685767832,3000,0,691.08,Restricted Fund,0
Item 277,70579,GENERAL SERVICES,41630,41.89,4.1,0.17,7.12,11.22,Failed,84715,"74258, 72916",Dec-02,3577734019,Money Order,3000,0,30.67,Enterprise,0
Item 278,77768,ITS,41553,939.52,7.17,0.19,178.51,185.68,Failed,36245,"72114, 70209",Dec-48,,3677829055,3000,0,753.84,Restricted Fund,0
Item 279,71009,PUBLIC DEFENDER,41508,623.75,4.65,0.28,174.65,179.3,Pending,41180,79564,,3576262966,3695902852,3000,0,444.45,Restricted Fund,0
Item 280,73177,PUBLIC DEFENDER,41611,834.13,4,0.13,108.44,112.44,Failed,,"76025, 78662",,,3649447789,3000,0,721.69,Enterprise,0
Item 281,70638,PARKS,41632,595.57,11.77,0.24,142.94,154.71,Successful,95177,"70333, 76962",,3432588342,3627671859,3000,0,440.86,Enterprise,0
Item 282,72500,PARKS,41578,609.31,9.31,0.23,140.14,149.45,Successful,57646,78576,,3019142094,Money Order,3000,0,459.86,Enterprise,0
Item 283,72926,OFM,41576,503.22,10.74,0.12,60.39,71.13,Pending,36090,76159,,3371004912,3681108809,3000,0,432.09,General Fund,0
Item 284,72926,GENERAL SERVICES,41553,429.57,10.08,0.25,107.39,117.47,Pending,90876,"77597, 70680, 79206",,,3657570795,3000,0,312.1,Enterprise,0
Item 285,78483,OFM,41556,366.7,2.04,0.11,40.34,42.38,Pending,34716,"70544, 78852, 78249",,,Money Order,3000,0,324.32,Restricted Fund,0
Item 286,75251,PARKS,41597,914.56,9.81,0.2,182.91,192.72,Pending,11191,"71359, 79456",,,3695613118,3000,0,721.84,General Fund,0
Item 287,72027,ITS,41642,189.83,9.56,0.22,41.76,51.32,Failed,,"71890, 76255, 71710",Dec-72,,3606891388,3000,0,138.51,Restricted Fund,0
Item 288,77170,OFM,41691,838.04,7.56,0.21,175.99,183.55,Pending,36880,"70301, 78676, 75019",Dec-49,3397212606,3694274351,3000,0,654.49,General Fund,0
Item 289,76186,SCHOOL BOARD WAREHOUSE,41535,161.39,13.63,0.17,27.44,41.07,Failed,35434,75281,Dec-55,,3649745473,3000,0,120.32,Enterprise,0
Item 290,73374,PARKS,41552,383.96,8.35,0.26,99.83,108.18,Successful,99830,70565,Dec-13,,3633328353,3000,0,275.78,Restricted Fund,0
Item 291,77463,ITS,41510,744.68,11.12,0.26,193.62,204.74,Failed,40816,72775,Dec-69,,3647967616,3000,0,539.94,Restricted Fund,0
Item 292,70534,PARKS,41509,116.3,2.34,0.28,32.56,34.9,Pending,49643,"74261, 79449",,3506698203,Money Order,3000,0,81.4,General Fund,0
Item 293,77473,PUBLIC DEFENDER,41500,100,5.1,0.12,12,17.1,Successful,41491,"78514, 76702, 75179",,,3617121336,3000,0,82.9,Enterprise,0
Item 294,70386,ITS,41584,742.71,2.25,0.17,126.26,128.51,Failed,,"70608, 70022, 74801",,3180213501,3686158414,3000,0,614.2,Restricted Fund,0
Item 295,74213,ITS,41627,62.27,1.36,0.27,16.81,18.17,Pending,85961,76681,DEC-1856,3170828530,3658050030,3000,0,44.1,Restricted Fund,0
Item 296,70414,PUBLIC DEFENDER,41656,836.98,11.45,0.28,234.35,245.8,Successful,22371,79276,Dec-01,,Money Order,3000,0,591.18,Enterprise,0
Item 297,74161,OFM,41608,545.6,9.91,0.12,65.47,75.38,Pending,44730,"75378, 76004",,,3648181695,3000,0,470.22,General Fund,0
Item 298,76979,OFM,41517,902.76,2.5,0.27,243.75,246.25,Pending,91568,73858,Dec-67,3031781880,3660728959,3000,0,656.51,Enterprise,0
Item 299,72191,PUBLIC DEFENDER,41521,320.11,13.6,0.24,76.83,90.43,Successful,34508,"77109, 74371, 74033",,,3640985226,3000,0,229.68,Restricted Fund,0
Item 300,74934,GENERAL SERVICES,41516,806.23,10.77,0.28,225.74,236.51,Pending,,"71846, 70549",Dec-41,,3617080255,3000,0,569.72,General Fund,0
Item 301,74033,OFM,41672,297.16,5.49,0.11,32.69,38.18,Pending,27004,79045,Dec-25,,Money Order,3000,0,258.98,Restricted Fund,0
Item 302,76851,PARKS,41546,132.43,6.12,0.26,34.43,40.55,Pending,30949,"79973, 73367",,,3606171625,3000,0,91.88,Restricted Fund,0
Item 303,77661,PUBLIC DEFENDER,41636,787.45,0.89,0.3,236.24,237.13,Pending,20034,"74126, 79804",Dec-01,3235351662,3601996197,3000,0,550.32,Enterprise,0
Item 304,78131,OFM,41594,493.67,13.36,0.12,59.24,72.6,Successful,99831,73896,Dec-38,3163530120,3635411584,3000,0,421.07,Restricted Fund,0
Item 305,79357,ITS,41552,422.41,8.01,0.14,59.14,67.15,Failed,62516,73258,DEC-1069,3021841387,3636335398,3000,0,355.26,Restricted Fund,0
Item 306,71467,SCHOOL BOARD WAREHOUSE,41594,846.21,4.44,0.11,93.08,97.52,Failed,,"76933, 72649, 72083",,,3653026441,3000,0,748.69,Enterprise,0
Item 307,70224,ITS,41601,999.06,7.44,0.11,109.9,117.34,Failed,72348,"75293, 76097",,,3616547707,3000,0,881.72,General Fund,0
Item 308,79229,PUBLIC DEFENDER,41670,719.42,7.45,0.23,165.47,172.92,Pending,19846,"71921, 75826, 78578",,,3699560141,3000,0,546.5,Restricted Fund,0
Item 309,75691,GENERAL SERVICES,41660,476.23,0.79,0.16,76.2,76.99,Failed,,"78300, 77940",,,Money Order,3000,0,399.24,General Fund,0
Item 310,70571,ITS,41661,534.52,11.22,0.22,117.59,128.81,Pending,46956,"71575, 70262",,3214504968,Money Order,3000,0,405.71,General Fund,0
Item 311,77766,PUBLIC DEFENDER,41663,408.14,11.72,0.29,118.36,130.08,Failed,64459,"75311, 77013",,,3607564346,3000,0,278.06,Enterprise,0
Item 312,77521,GENERAL SERVICES,41686,821.92,7.2,0.27,221.92,229.12,Failed,38768,"74999, 77573, 73985",,,Money Order,3000,0,592.8,Restricted Fund,0
Item 313,78647,PUBLIC DEFENDER,41605,683.75,11.07,0.22,150.43,161.5,Successful,,"79986, 78754",Dec-22,,Money Order,3000,0,522.25,Enterprise,0
Item 314,72253,PUBLIC DEFENDER,41551,120.51,9.27,0.12,14.46,23.73,Failed,55732,"70172, 73724",,,3644929001,3000,0,96.78,Enterprise,0
Item 315,70272,OFM,41563,665.37,5.47,0.16,106.46,111.93,Failed,79416,"78758, 72552, 78088",Dec-74,3422534284,Money Order,3000,0,553.44,General Fund,0
Item 316,78253,PARKS,41616,715.4,11.7,0.18,128.77,140.47,Failed,72610,"78489, 75314, 75515",Dec-01,,3674220726,3000,0,574.93,General Fund,0
Item 317,78142,GENERAL SERVICES,41659,922.77,1.79,0.11,101.5,103.29,Pending,,76856,Dec-58,,Money Order,3000,0,819.48,General Fund,0
Item 318,79168,ITS,41522,433.9,8.22,0.17,73.76,81.98,Pending,36266,"72824, 72574, 73881",,,3606757599,3000,0,351.92,Enterprise,0
Item 319,74201,OFM,41510,719.21,1.98,0.23,165.42,167.4,Pending,17859,"76298, 78866",,,3638471341,3000,0,551.81,Restricted Fund,0
Item 320,78680,ITS,41595,390.21,8.6,0.22,85.85,94.45,Successful,48762,"72320, 76826, 72443",Dec-01,3164776957,Money Order,3000,0,295.76,Enterprise,0
Item 321,76094,OFM,41616,339.41,2.45,0.13,44.12,46.57,Pending,90151,75869,,,3692872508,3000,0,292.84,Restricted Fund,0
Item 322,72743,SCHOOL BOARD WAREHOUSE,41663,344.23,6.91,0.17,58.52,65.43,Pending,73071,"77535, 73694, 74822",Dec-67,3342564685,3671543063,3000,0,278.8,General Fund,0
Item 323,71088,OFM,41598,777.82,3.57,0.24,186.68,190.25,Failed,30229,70424,Dec-16,,Money Order,3000,0,587.57,Restricted Fund,0
Item 324,75212,SCHOOL BOARD WAREHOUSE,41510,591.27,7.85,0.18,106.43,114.28,Pending,,71330,,3077999694,3669478735,3000,0,476.99,General Fund,0
Item 325,76538,OFM,41630,283.38,3.89,0.26,73.68,77.57,Successful,37134,72111,Dec-23,,3651393016,3000,0,205.81,Enterprise,0
Item 326,76275,PARKS,41583,966.36,7.99,0.26,251.25,259.24,Successful,40174,"77058, 79720, 73578",,3021530348,3663647445,3000,0,707.12,Restricted Fund,0
Item 327,74706,GENERAL SERVICES,41549,952.07,11.04,0.15,142.81,153.85,Successful,12268,76831,,,3605451617,3000,0,798.22,General Fund,0
Item 328,77660,SCHOOL BOARD WAREHOUSE,41598,65.57,11.99,0.28,18.36,30.35,Successful,,78974,,3431435853,3646671863,3000,0,35.22,General Fund,0
Item 329,75767,GENERAL SERVICES,41622,742.08,13.42,0.14,103.89,117.31,Failed,,74626,,,Money Order,3000,0,624.77,Restricted Fund,0
Item 330,77980,ITS,41597,889.29,2.23,0.21,186.75,188.98,Successful,91391,77564,,,Money Order,3000,0,700.31,Enterprise,0
Item 331,72814,SCHOOL BOARD WAREHOUSE,41694,52.83,3.11,0.18,9.51,12.62,Failed,59861,71517,,,3611226036,3000,0,40.21,General Fund,0
Item 332,78194,ITS,41672,967.37,11.49,0.3,290.21,301.7,Failed,57266,"70675, 78668, 78429",,,3626340846,3000,0,665.67,Enterprise,0
Item 333,74052,PUBLIC DEFENDER,41618,110.27,8.6,0.24,26.46,35.06,Failed,65170,"73883, 70242, 72250",,,3654807749,3000,0,75.21,General Fund,0
